Category Target

* Can adjust only value column *

Category (MCH3) Code,Category (MCH3),Data Display,Jan *,Feb *,Mar *,Apr *,May *,Jun *,Jul *,Aug *,Sep *,Oct *,Nov *,Dec *,Total
D,ประตู บานซิงค์และอุปกรณ์,ACTUAL 2020,2025482.69,0.00,2803591.39,2856693.60,3101637.49,3865291.29,3835620.21,3873956.25,4078916.95,4646762.47,3911218.60,4536635.71,39535806.65
D,ประตู บานซิงค์และอุปกรณ์,ACTUAL 2021,7155379.94,4850892.05,8098245.52,5302840.23,6969718.20,6086392.77,6647387.81,6558206.62,7865580.15,6938794.00,6003306.25,7086861.76,79563605.30
D,ประตู บานซิงค์และอุปกรณ์,ACTUAL 2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,ประตู บานซิงค์และอุปกรณ์,TARGET 2022 CURRENT,,,,50000.00,200000.00,1000000.00,200000.00,200000.00,200000.00,200000.00,200000.00,200000.00,2450000.00
D,ประตู บานซิงค์และอุปกรณ์,TARGET 2022 ADJUSTMENT *,,,,,80000.00,,,,,1000000.00,,,1080000.00
D,ประตู บานซิงค์และอุปกรณ์,TARGET 2023 CURRENT,,,,,,,,,,,,,0
D,ประตู บานซิงค์และอุปกรณ์,TARGET 2023 ADJUSTMENT *,-10000,,,,,,,,,,,,-10000
D,ประตู บานซิงค์และอุปกรณ์,TARGET 2024 CURRENT,,,,,,,,,,,,,0
D,ประตู บานซิงค์และอุปกรณ์,TARGET 2024 ADJUSTMENT *,,,,,,,,,,,,,0
A,เฟอร์นิเจอร์และอุปกรณ์ตกแต่งบ้าน,ACTUAL 2020,4302.00,0.00,3296.00,3318.00,4877.38,6080.00,1715.00,7442.00,3774.00,4320.00,3229.00,5431.00,47784.38
A,เฟอร์นิเจอร์และอุปกรณ์ตกแต่งบ้าน,ACTUAL 2021,0.00,0.00,0.00,0.00,2535.00,5998.00,990.00,2970.00,891.00,2921.00,0.00,0.00,16305.00
A,เฟอร์นิเจอร์และอุปกรณ์ตกแต่งบ้าน,ACTUAL 2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A,เฟอร์นิเจอร์และอุปกรณ์ตกแต่งบ้าน,TARGET 2022 CURRENT,0.00,0.00,0.00,0.00,0.00,30000.00,0.00,0.00,0.00,0.00,0.00,0.00,30000.00
A,เฟอร์นิเจอร์และอุปกรณ์ตกแต่งบ้าน,TARGET 2022 ADJUSTMENT *,,,,,,,,,,,,,0
A,เฟอร์นิเจอร์และอุปกรณ์ตกแต่งบ้าน,TARGET 2023 CURRENT,,,,,,,,,,,,,0
A,เฟอร์นิเจอร์และอุปกรณ์ตกแต่งบ้าน,TARGET 2023 ADJUSTMENT *,,,,,,,,,,,,,0
