Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
Category Forecast,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
* Can adjust only value column *,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Category (MCH2),Category (MCH2) Code,Category (MCH1),Category (MCH1) Code,Brand,Data Display,Jan 2022 Value *,Feb 2022 Value *,Mar 2022 Value *,Apr 2022 Value *,May 2022 Value *,Jun 2022 Value *,Jul 2022 Value *,Aug 2022 Value *,Sep 2022 Value *,Oct 2022 Value *,Nov 2022 Value *,Dec 2022 Value *,Total
ซิงค์และอุปกรณ์,K3,ซิงค์ฝังเคาน์เตอร์,K301,DIAMOND,Forecast,1236.768,499.622,487.088,1284.689,1388.034,521.946,540.212,543.749,581.857,562.362,592.727,576.657,8815.711
ซิงค์และอุปกรณ์,K3,ซิงค์ฝังเคาน์เตอร์,K301,DIAMOND,Actual,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
ซิงค์และอุปกรณ์,K3,ซิงค์ฝังเคาน์เตอร์,K301,DIAMOND,Target,8658.422,9082.581,9178.972,9230.710,13312.048,13788.076,14338.542,16797.775,17293.720,17631.838,18680.422,19417.515,167410.621
ซิงค์และอุปกรณ์,K3,ซิงค์ฝังเคาน์เตอร์,K301,DIAMOND,Adjust *,,,,,,80000,80000.888,100000,,,,,0
ซิงค์และอุปกรณ์,K3,ซิงค์ฝังเคาน์เตอร์,K301,HOY,Forecast,3845.900,3910.847,2766.591,2941.636,3023.687,2736.890,2606.210,2334.845,2058.628,,,,26225.234
ซิงค์และอุปกรณ์,K3,ซิงค์ฝังเคาน์เตอร์,K301,HOY,Actual,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,0
ซิงค์และอุปกรณ์,K3,ซิงค์ฝังเคาน์เตอร์,K301,HOY,Target,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,0
ซิงค์และอุปกรณ์,K3,ซิงค์ฝังเคาน์เตอร์,K301,HOY,Adjust *,,,,,,,,,,,,,0
ซิงค์และอุปกรณ์,K3,ซิงค์ขาตั้ง,K302,MOOLAR,Forecast,574.057,4666.023,533.263,1114.370,995.956,1229.139,1272.153,1059.210,1866.652,1804.110,1154.618,1849.969,18119.520
ซิงค์และอุปกรณ์,K3,ซิงค์ขาตั้ง,K302,MOOLAR,Actual,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
ซิงค์และอุปกรณ์,K3,ซิงค์ขาตั้ง,K302,MOOLAR,Target,14300.900,16371.837,15160.680,17604.481,20529.569,21263.690,22112.608,23989.272,24697.542,27995.881,29660.827,30831.185,264518.472
ซิงค์และอุปกรณ์,K3,ซิงค์ขาตั้ง,K302,MOOLAR,Adjust *,,,,,,,,,,,,,0
