Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
Product Class Recommendation,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
* Can adjust only value column *,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DC Code,DC Name,RDC Code,RDC Name,FC Store Code,FC Store Name,Article Number,Article Name,Article Vendor Name,Selling Unit,Item Flag,SCGH Item Status,SCGH DC Item Flag,DC Stock,Show & Stock (By Branch),Product Class (Previous Version),Product Class (QTY),Product Class (Value),Product Class (Recommendation) *
3000-C1,DC TEST 2,8020011,SCGH Korat test01,8080,SCGH 3K หาดใหญ่,1194442,แก้วปาร์เก้-เนื้อR/T (PK4) 24X24 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,B,C,B,B
8910,DC Korat 01,,,8210,SCGH โคราช-หัวทะเล,1194442,แก้วปาร์เก้-เนื้อR/T (PK4) 24X24 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,B,B
3000-C1,DC TEST 2,8020011,SCGH Korat test01,8080,SCGH 3K หาดใหญ่,1194443,แก้วปาร์เก้-น้ำตาล R/T (PK4) 24X24 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,B,C,C,B
,,,,8230,SCGH กิจเจริญสะเดา,1194443,แก้วปาร์เก้-น้ำตาล R/T (PK4) 24X24 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,B,C,C,B
3000-C1,DC TEST 2,8020011,SCGH Korat test01,8080,SCGH 3K หาดใหญ่,1194444,ไมยราบ-เนื้อ R/T (PK4) 24X24 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,B
,,,,8180,SCGH ฮาร์ดแวร์เฮาส์ ศรีราชา,1194444,ไมยราบ-เนื้อ R/T (PK4) 24X24 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,A,B
,,,,8230,SCGH กิจเจริญสะเดา,1194444,ไมยราบ-เนื้อ R/T (PK4) 24X24 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,B,C,C,B
3000-C1,DC TEST 2,8020011,SCGH Korat test01,8080,SCGH 3K หาดใหญ่,1194446,ไม้ปฐพี-เทา R/T (PK4) 24X24 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,A,A,B
,,,,8180,SCGH ฮาร์ดแวร์เฮาส์ ศรีราชา,1194446,ไม้ปฐพี-เทา R/T (PK4) 24X24 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,B
3000-C1,DC TEST 2,8020011,SCGH Korat test01,8080,SCGH 3K หาดใหญ่,1194449,ผลึกมณี-ขาว R/T 60X60 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,A,C,C,B
8910,DC Korat 01,,,8210,SCGH โคราช-หัวทะเล,1194449,ผลึกมณี-ขาว R/T 60X60 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,A,C,B,A
,,,,8230,SCGH กิจเจริญสะเดา,1194449,ผลึกมณี-ขาว R/T 60X60 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,B,A
,,,,8050,SCGH นครศรีธรรมราช,1194447,ขวดใส่น้ำยาล้างจาน HAFELE 495.41.067,495.41.067,EA,Standard,Ready,,DC FLOW THROUGH,N,C,A,A,A
3000-C1,DC TEST 2,8020011,SCGH Korat test01,8080,SCGH 3K หาดใหญ่,1194447,ขวดใส่น้ำยาล้างจาน HAFELE 495.41.067,495.41.067,EA,Standard,Ready,,DC FLOW THROUGH,N,A,A,A,A
8910,DC Korat 01,,,8090,SCGH บุรีรัมย์-นางรอง,1194447,ขวดใส่น้ำยาล้างจาน HAFELE 495.41.067,495.41.067,EA,Standard,Ready,,DC FLOW THROUGH,N,C,A,A,A
,,,,8060,SCGH เชียงราย,1194448,กระชอน 495.41.070,495.41.070,EA,Standard,Ready,,DC FLOW THROUGH,N,A,A,A,A
