Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
Product Class Recommendation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* Can adjust only value column *,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DC Code,DC Name,Article Number,Article Name,Article Vendor Name,Selling Unit,Item Flag,SCGH Item Status,SCGH DC Item Flag,DC Stock,Show & Stock (By Branch),Product Class (Previous Version),Product Class (QTY),Product Class (Value),Product Class (Recommendation) *
8910,DC Korat 01,1051081,พัดลมระบายอากาศ EX-25SG5T,,U12,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,B
8910,DC Korat 01,1081675,บานพับถอดได้489.02.453*ทองแดงรมดำ,,EA,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,B
8910,DC Korat 01,1081545,ดิโอโร เทา (DG) 8X16 *A,,PC,Standard,Ready,,DC STOCK,N,C,C,C,B
8910,DC Korat 01,1081354,PIETRO BEIGE (PG6003P) 60X60 *A,,PC,Standard,Ready,,DC STOCK,N,C,C,C,B
8910,DC Korat 01,1081158,วิคเตอร์ ไวท์ 10X16 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,B,B,B,A
8910,DC Korat 01,1081166,ชิคาโก้ เกรย์ (D) 16X16 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,B,C,C,A
8910,DC Korat 01,1081287,ฟีนิกซ์ แบล็ค ชีพ PN-508-03 2X8*A,,PC,Standard,Ready,,,N,C,C,C,A
8910,DC Korat 01,1081297,ฟีนิกซ์ แบล็ค ชีพ PN-109-03 1X8*A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,A
8910,DC Korat 01,1081544,ดิโอโร น้ำตาล (DG) 8X16 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,1081241,สเปนนิช ไวท์ ทรัฟเฟิล SP-206-07 2X8*A,,PC,Standard,Ready,,DC FLOW THROUGH,N,A,B,C,C
8910,DC Korat 01,81081,โบเม 16X16*A,,PC,Standard,Ready,,DC STOCK,N,B,B,B,C
8910,DC Korat 01,1081292,ฟีนิกซ์ แบล็ค ชีพ PN-206-03 2X8*A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,1081359,PIETRO GREY (PG6002P) 60X60 *A,,PC,Standard,Ready,,DC STOCK,N,C,C,C,B
8910,DC Korat 01,1081488,ทรีเซีย น้ำตาล 16X16 A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,B,B
8910,DC Korat 01,1081063,แกรนิตโต้ SG MAX (ML6060) 60X60 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,B,A,A,A
8910,DC Korat 01,1108183,FONDI CREMA(FONDI CREMA)30X60*A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,1108197,KOHINOOR BEIGE(KOHINOOR BEIGE)30X60*A,,PC,Standard,Ready,,DC FLOW THROUGH,N,B,C,C,C
8910,DC Korat 01,1081352,JEJU WHITE  (63C00) 30X60 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,B,B
8910,DC Korat 01,1081355,PIETRO MOCCA (PG6001P) 60X60 *A,,PC,Standard,Ready,,DC STOCK,N,C,C,C,B
8910,DC Korat 01,1081358,RIO CARRARA (HC6003) 60X60 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,B
8910,DC Korat 01,1108158,KOHINOOR CREMA HL 30X60 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,1081551,ไวท์เพิร์ล 8X16 *A,,PC,Standard,Ready,,DC STOCK,N,B,C,C,B
8910,DC Korat 01,1081552,สเปลโล น้ำตาล (DG) 8X16 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,B
8910,DC Korat 01,1108154,G-EPIROS NEGRO HL 30X60 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,1108160,KOHINOOR BLANCO 30X60*A,,PC,Standard,Ready,,DC STOCK,N,C,C,C,C
8910,DC Korat 01,1108155,G-EPIROS GRAFITO HL 30X60 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,A,C,C,C
8910,DC Korat 01,1108157,AURANTI BLACK RUSTIC 30X60*A,,PC,Standard,Ready,,DC FLOW THROUGH,N,B,C,C,C
8910,DC Korat 01,1108152,MATRIX YELLOW(MATRIX YELLOW)30X60* A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,1108141,AURANTI GREY RUSTIC 30X60*A,,PC,Standard,Ready,,DC FLOW THROUGH,N,A,C,C,C
8910,DC Korat 01,1108149,MATRIX BLOOD RED 30X60*A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,1108190,G-EPIROS GRIS HL 30X60 *A,,PC,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,1081739,สีทาภายใน DURACLEAN A PLUS MATT#A 1GL,,GLL,Standard,Ready,,,N,C,C,C,B
8910,DC Korat 01,1081740,สีทาภายใน DURACLEAN A PLUS MATT#B 1GL,,GLL,Standard,Ready,,,N,A,C,C,B
8910,DC Korat 01,1081741,สีทาภายใน DURACLEAN A PLUS MATT#C 1GL,,GLL,Standard,Ready,,,N,C,C,C,B
8910,DC Korat 01,1081020,เตาไฟฟ้า รุ่น HB30-2INDFZ/TC,,U12,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,A
8910,DC Korat 01,1081000,เตาแก๊ส-เตาอบตั้งพื้น60ซม.EKM61301OX,,U12,Standard,Ready,,DC FLOW THROUGH,N,C,C,B,A
8910,DC Korat 01,1081794,SINK ALTON 1200/500 สแตนเลส,,U05,Standard,Ready,,DC STOCK,N,C,C,C,B
8910,DC Korat 01,1081796,SINK ALTON 1000/500สแตนเลส,,U05,Standard,Ready,,DC STOCK,N,A,C,C,B
8910,DC Korat 01,1081308,เตาแก๊ส รุ่น FS60-4B8E สแตนเลส,,U12,Standard,Ready,,DC FLOW THROUGH,N,B,C,B,B
8910,DC Korat 01,1081795,SINK ATHENS 1000/500 สแตนเลส,,U05,Standard,Ready,,DC STOCK,N,B,B,C,B
8910,DC Korat 01,1081826,ค.ดูดควัน รุ่น HC-HEE52J-90 สแตนเลส,,U12,Standard,Ready,,DC FLOW THROUGH,N,C,C,B,B
